sale_id,customer_id,product_id,branch_id,sale_date,quantity,unit_price,total_amount
SALE100101,CUST002,PROD009,BR002,2025-03-20,1,666.64,666.64
SALE100102,CUST016,PROD010,BR005,2025-03-20,4,70.67,282.68
SALE100103,CUST024,PROD015,BR002,2025-03-20,6,2454.68,14728.08
SALE100104,CUST050,PROD016,BR004,2025-03-20,3,88.97,266.91
SALE100105,CUST046,PROD010,BR004,2025-03-20,5,70.67,353.35
SALE100106,CUST004,PROD004,BR005,2025-03-20,3,104.97,314.91
SALE100107,CUST028,PROD013,BR001,2025-03-20,5,366.38,1831.9
SALE100108,CUST013,PROD009,BR005,2025-03-20,2,666.64,1333.28
SALE100109,CUST050,PROD004,BR001,2025-03-20,4,104.97,419.88
SALE100110,CUST036,PROD003,BR008,2025-03-20,5,637.78,3188.9
SALE100111,CUST021,PROD011,BR009,2025-03-20,5,1985.74,9928.7
SALE100112,CUST007,PROD012,BR010,2025-03-20,2,158.1,316.2
SALE100113,CUST045,PROD011,BR005,2025-03-20,6,1985.74,11914.44
SALE100114,CUST001,PROD005,BR001,2025-03-20,3,150.03,450.09
SALE100115,CUST014,PROD016,BR008,2025-03-20,1,88.97,88.97
SALE100116,CUST016,PROD001,BR008,2025-03-20,6,2560.96,15365.76
SALE100117,CUST047,PROD006,BR009,2025-03-20,2,1302.26,2604.52
SALE100118,CUST008,PROD017,BR003,2025-03-20,1,281.65,281.65
SALE100119,CUST039,PROD011,BR003,2025-03-20,6,1985.74,11914.44
SALE100120,CUST034,PROD003,BR003,2025-03-20,6,637.78,3826.68
SALE100121,CUST011,PROD005,BR003,2025-03-20,6,150.03,900.18
SALE100122,CUST039,PROD017,BR010,2025-03-20,4,281.65,1126.6
SALE100123,CUST034,PROD003,BR009,2025-03-20,6,637.78,3826.68
SALE100124,CUST027,PROD010,BR005,2025-03-20,2,70.67,141.34
SALE100125,CUST029,PROD015,BR005,2025-03-20,4,2454.68,9818.72
SALE100126,CUST046,PROD005,BR006,2025-03-20,2,150.03,300.06
SALE100127,CUST032,PROD020,BR002,2025-03-20,1,390.53,390.53
SALE100128,CUST003,PROD004,BR001,2025-03-20,1,104.97,104.97
SALE100129,CUST028,PROD012,BR001,2025-03-20,4,158.1,632.4
SALE100130,CUST024,PROD007,BR001,2025-03-20,6,1590.78,9544.68
SALE100131,CUST029,PROD005,BR004,2025-03-20,2,150.03,300.06
SALE100132,CUST028,PROD001,BR004,2025-03-20,3,2560.96,7682.88
SALE100133,CUST009,PROD018,BR002,2025-03-20,5,568.6,2843.0
SALE100134,CUST011,PROD004,BR004,2025-03-20,5,104.97,524.85
SALE100135,CUST021,PROD017,BR002,2025-03-20,1,281.65,281.65
SALE100136,CUST028,PROD003,BR004,2025-03-20,3,637.78,1913.34
SALE100137,CUST047,PROD004,BR004,2025-03-20,1,104.97,104.97
SALE100138,CUST050,PROD005,BR009,2025-03-20,1,150.03,150.03
SALE100139,CUST040,PROD016,BR001,2025-03-20,4,88.97,355.88
SALE100140,CUST050,PROD014,BR005,2025-03-20,4,1222.88,4891.52
SALE100141,CUST001,PROD002,BR004,2025-03-20,5,1286.48,6432.4
SALE100142,CUST048,PROD003,BR005,2025-03-20,2,637.78,1275.56
SALE100143,CUST006,PROD009,BR009,2025-03-20,2,666.64,1333.28
SALE100144,CUST021,PROD001,BR010,2025-03-20,1,2560.96,2560.96
SALE100145,CUST003,PROD008,BR006,2025-03-20,4,360.32,1441.28
SALE100146,CUST012,PROD006,BR007,2025-03-20,1,1302.26,1302.26
SALE100147,CUST008,PROD015,BR001,2025-03-20,5,2454.68,12273.4
SALE100148,CUST037,PROD020,BR005,2025-03-20,4,390.53,1562.12
SALE100149,CUST020,PROD015,BR003,2025-03-20,5,2454.68,12273.4
SALE100150,CUST008,PROD016,BR002,2025-03-20,5,88.97,444.85
SALE100151,CUST029,PROD012,BR007,2025-03-20,3,158.1,474.3
SALE100152,CUST029,PROD004,BR007,2025-03-20,6,104.97,629.82
SALE100153,CUST030,PROD006,BR010,2025-03-20,6,1302.26,7813.56
SALE100154,CUST035,PROD003,BR002,2025-03-20,4,637.78,2551.12
SALE100155,CUST003,PROD002,BR009,2025-03-20,6,1286.48,7718.88
SALE100156,CUST020,PROD010,BR004,2025-03-20,5,70.67,353.35
SALE100157,CUST016,PROD012,BR009,2025-03-20,3,158.1,474.3
SALE100158,CUST039,PROD011,BR006,2025-03-20,6,1985.74,11914.44
SALE100159,CUST025,PROD012,BR003,2025-03-20,3,158.1,474.3
SALE100160,CUST020,PROD020,BR005,2025-03-20,2,390.53,781.06
SALE100161,CUST013,PROD007,BR007,2025-03-20,3,1590.78,4772.34
SALE100162,CUST046,PROD010,BR010,2025-03-20,2,70.67,141.34
SALE100163,CUST032,PROD005,BR001,2025-03-20,1,150.03,150.03
