product_id,product_name,category_id,unit_cost,unit_price,stock_quantity,last_restock_date
PROD001,Perfume Pro,CAT001,1781.94,2560.96,29,2025-02-01
PROD002,Kettle Basic,CAT002,901.8,1286.48,58,2024-03-10
PROD003,Toothpaste Lite,CAT003,429.89,637.78,82,2024-08-11
PROD004,Vacuum X,CAT004,78.98,104.97,87,2024-05-07
PROD005,Jacket Plus,CAT005,123.46,150.03,91,2025-01-19
PROD006,Blender X,CAT001,963.52,1302.26,86,2025-03-04
PROD007,Lamp X,CAT002,1147.16,1590.78,35,2024-04-04
PROD008,Soap X,CAT003,293.91,360.32,23,2024-02-07
PROD009,Jeans X,CAT004,474.51,666.64,89,2024-12-15
PROD010,Tablet Pro,CAT005,53.09,70.67,7,2024-03-20
PROD011,Headphones Plus,CAT001,1503.11,1985.74,20,2024-12-26
PROD012,Headphones Basic,CAT002,115.78,158.1,41,2025-01-18
PROD013,Tablet Lite,CAT003,259.89,366.38,5,2024-01-12
PROD014,Lotion Lite,CAT004,891.45,1222.88,41,2024-11-17
PROD015,Lamp Basic,CAT005,1882.38,2454.68,11,2024-08-03
PROD016,Vacuum X,CAT001,63.8,88.97,86,2024-07-01
PROD017,Smartphone Basic,CAT002,210.82,281.65,41,2025-01-31
PROD018,T-Shirt Plus,CAT003,417.92,568.6,74,2024-06-05
PROD019,Shampoo Basic,CAT004,1179.05,1566.83,72,2024-11-02
PROD020,Lotion Basic,CAT005,281.06,390.53,56,2024-04-02
